type,title,micro_summary,summary,tags,access_mode,url
academic_secretariat,המזכירות האקדמית,המזכירות האקדמית,"עמוד ללמוד אצלנו לפורטל האישי לסגל תפריט להרשמה המזכירות האקדמית על אודות תקנון ונהלים שנתון ולוח שנה משמעת ואתיקה מלגות, קרנות ופרסים אתרים קשורים צרו קשר פנייה טלפון…","מזכירות אקדמית, מלגות, הרשמה, תואר ראשון, סגל",login_required,https://bgu.ac.il/u/academic-affairs/acadsec
academic_secretariat,צרו קשר עם המזכירות האקדמית,צרו קשר עם המזכירות האקדמית,"המזכירות האקדמית צרו קשר צרו קשר ליאל חג'ג'​​ - רכזת ועדות משמעת וחריגים lielm@bgu | il יוליה סנדלר - נוהל בחינות, תקנון אקדמי, לוחות שנה, חוק זכויות הסטודנט, פרסי…","מזכירות אקדמית, הרשמה, יצירת קשר",public,https://bgu.ac.il/u/academic-affairs/acadsec/contact
academic_secretariat,שנתונים אוניברסיטת בן-גוריון בנגב,שנתונים אוניברסיטת בן-גוריון בנגב,"המזכירות האקדמית שנתונים שנתונים בעמוד זה תוכלו למצוא את שנתון האוניברסיטה: הפרק הכללי ושנתוני הפקולטות שנתון האוניברסיטה - הפרק הכללי: לעיון בשנתון העדכני לשנת תשפ""ו…","מזכירות אקדמית, שנתון",public,https://bgu.ac.il/u/rector/acadsec/shnaton
admissions_registration_programs,LEADERS | תוכנית הכשרה למנהיגות יזמית,LEADERS | תוכנית הכשרה למנהיגות יזמית,"בוגרים ובוגרות צוות של לידרים יזמות 360 הרשמה ל-LEADERS מנהיגות יזמית תוכנית מעשית לפיתוח אישי ומקצועי באמצעות התנסות וסדנאות חוויתיות לא ""עוד קורס"" זו לא עוד שורה…","קבלה/הרשמה, הרשמה",public,https://bgu.ac.il/yazamut360/he/leaders
admissions_registration_programs,LEADERS – תוכנית לפיתוח אישי ויזמי לסטודנטים וסטודנטיות ב־BGU,LEADERS – תוכנית לפיתוח אישי ויזמי לסטודנטים וסטודנטיות ב־BG,בוגרים ובוגרות צוות של לידרים יזמות 360 הרשמה ל-LEADERS למה להירשם ל-LEADERS | LEADERS היא לא עוד קורס אקדמי ולא עוד תוכנית לסטארטאפיסטים,"קבלה/הרשמה, הרשמה",public,https://bgu.ac.il/yazamut360/he/leaders/whyleaders
admissions_registration_programs,Students Think Innovation | אתגרים ציבוריים,Students Think Innovation | אתגרים ציבוריים,"לאתגרים צוות התוכנית Yazamut 360 להרשמה אתגרי התחרות ""הצורך הוא אבי ההמצאה"" ~ אפלטון הטיקטים של משרדי הממשלה פיצחנו את האלגוריתם לפתרון אתגרים ציבוריים: כל שנה, השותפים…","קבלה/הרשמה, הרשמה",public,https://bgu.ac.il/yazamut360/he/sti/sti-challenges
admissions_registration_programs,Students Think Innovation | על התוכנית,Students Think Innovation | על התוכנית,"לאתגרים צוות התוכנית Yazamut 360 להרשמה עברית Hello World, קצת עליי, אסתי | כי STI Hack the System - חדשנות במגזר הציבורי תחרות Students Think Innovation מתמקדת בפיתוח…","קבלה/הרשמה, הרשמה",public,https://bgu.ac.il/yazamut360/he/sti/about-sti
admissions_registration_programs,אקוסיסטר: מעטפת לסטודנטיות במדע והנדסה בבן-גוריון,אקוסיסטר: מעטפת לסטודנטיות במדע והנדסה בבן-גוריון,למועמדים ולמועמדות אקוסיסטר - אנחנו רוצים אותָך | אקוסיסטר - אנחנו רוצים אותָך,קבלה/הרשמה,public,https://bgu.ac.il/welcome/contents/after-admission/ecosister
admissions_registration_programs,הצוות: מערכת ההפעלה של תוכנית STI,הצוות: מערכת ההפעלה של תוכנית STI,לאתגרים צוות התוכנית Yazamut 360 להרשמה עברית הצוות: מערכת ההפעלה של התוכנית הצוות הוא המעבד שמריץ הכול | ה-CPU אם תרצו אייר דורון הכוח המניע מאחורי התוכנית Students…,"קבלה/הרשמה, הרשמה",public,https://bgu.ac.il/yazamut360/he/sti/sti-team
admissions_registration_programs,הרשמה לאוניברסיטת בן-גוריון בנגב,הרשמה לאוניברסיטת בן-גוריון בנגב,"למועמדים ולמועמדות הרשמה לאוניברסיטת בן-גוריון בנגב הרשמה לאוניברסיטת בן-גוריון בנגב ההרשמה לסמסטר סתו תשפ""ז פתוחה החלטת להירשם | טרם ההרשמה, חלה חובה על​ כל המועמדים…","קבלה/הרשמה, הרשמה",public,https://bgu.ac.il/welcome/register
