מספר קורס,שם קורס,"נק""ז",קורסי חובת מעבר,2025 A,2025 B,2024 A,2024 B
68110049,עקרונות השיווק  ניהול משאבי אנו ש   או,3.0,68112071,85.9,82.39,86.23,89.65
20119711,"חדו""א 1 להנדסה",5.0,,73.54,60.0,,
20411571,כימיה בסיסית להנדסה,4.5,,70.23,Label Not Found,,
90055001,לומד ה להכר ת החוק והנהלים למניעת הטרדה מינית,0.0,,Label Not Found,Label Not Found,,
36511021,תורת החומרים1,4.0,,72.98,Label Not Found,81.36,55.67
36514965,גרפיקה ממוחשב ת הנדסית,1,,86.13,Label Not Found,92,
20119321,מבוא לאלגברה ליניארית להנדסה,4.5,,73.95,81.72,,
20119721,"חדו""א 2 להנדסה",5.0,20119711,Label Not Found,74.29,,
36512111,תרמודינמיקה1,4.0,"36511021, 20411571",Label Not Found,81.82,85.94,82.81
20311383,מעבדה א' 1 בפיסיקה לתלמידי הנדסת חומרים,1.5,,,86.16,,88.72
20311391,פיסיקה 1 ב' **,3.5,"20311383, 20119711",76.06,79.05,75.09,88.77
36512011,תורת החומרים2,3.5,36511021,Label Not Found,75.05,,
36512300,שיטות מדידה,1,,Label Not Found,95.75,,96.71
36513432,ישומי מחשב להנדסה,1,,Label Not Found,85.26,,92.11
90052002,הדרכת בטיחות כימית וביולוגית (קורס מקוון),0.0,,Label Not Found,Label Not Found,,
20119091,מבוא להסתברות א',2.5,20119711,73.47,Label Not Found,82.85,
20119171,מבוא למשוואות דיפרנציאליות להנדסת חומרים,4.5,"20119721, 20119321",85.38,Label Not Found,93.33,
20311491,פיסיקה 2 להנדסה,3.5,20311391,61.91,62.2,,
20411583,כימיה בסיסית להנדסה מעבדה,1.5,20411571,87.07,Label Not Found,95.82,
36512313,מעבדת חומרים1,1.5,"36511021, 36512011, 90052002",88.71,Label Not Found,88.18,
20312421,פיסיקה 3 להנדסה,2.5,20311391,81.64,Label Not Found,86.37,
36513123,תורת החוז ק למהנדסי חומרים,3.5,20311391,78.85,Label Not Found,90.33,
20119421,מבוא לסטטיסטיקה א',2.5,20119091,Label Not Found,73.53,,82.87
20311483,מעבדה א 2 בפיסיקה לתלמידי הנדסת חומרים,1.5,20311383,Label Not Found,93.53,,92.45
36514009,גלים ואופטיקה לחומרים,2.5,"20311491, 20119171",Label Not Found,69.41,,81
36513841,תכונות פיזיקליות של חומרים,3.5,"36512011, 36512111, 36513111, 20119171",Label Not Found,77.97,,86.31
36513015,מבוא למטלורגיה פיסיקלית ומכנית,3.5,"36511021, 36512011, 36512111",Label Not Found,86.0,,83.74
36514441,דיפרקציית קרניX,3.5,36511021,Label Not Found,71.76,,78.89
36512121,תרמודינמיקה 2,4.0,36512111,Label Not Found,88.92,,82.25
36512323,מעבדת חומרים2,1.5,36512313,Label Not Found,92.73,,91.11
36512211,תהליכים 1,3.5,"36512111, 36512121",82.92,Label Not Found,89.78,84.75
