מספר קורס,שם קורס,"נק""ז",קורסי חובת מעבר,2025A,2025B,2024A,2024B,2023A,2023B,2022A,2022B
20119671,חשבון דיפרנציאלי להנדסת חשמל,5.0,,74.4,72.18,82.13,63.45,67.95,53.89,71.81,68.62
36111081,מבוא מתמטי למהנדסים,2.5,,80.25,Label Not Found,81.82,77.79,79.61,Label Not Found,80.66,Label Not Found
20311371,פיזיקה 1 - הנדסת חשמל,3.5,20119671 36111081 50050006,73.68,67.45,83.41,88.25,71.62,Label Not Found,72.36,Label Not Found
20119511,חשמל 1 אלגברה ליניארית להנדסת,3.5,,70.91,69.9,80.04,73.82,68.29,63.39,70.03,62.77
20116201,מתמטיקה דיסקרטית,3.5,,75.58,Label Not Found,81.36,Label Not Found,67.23,Label Not Found,68.62,Label Not Found
15315051,אנגלית מתקדמים ב (1 ),2.0,,82.4,85.09,80.48,79.79,77.64,75.14,78.19,77.75
90055001,למניעת הטרדה מיני ת לומדה להכרת החוק והנהלים,0.0,,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found
36010011,הכרת הספריה,0.0,,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found
36113231,מערכות ספרתיות להנדסת חשמל ומחשבים,3.5,20116201,Label Not Found,87.2,Label Not Found,81.79,Label Not Found,75.29,Label Not Found,74.92
20119681,חשבון אינטגרלי ומשוואות דיפרנציאליות רגילות להנדסת חשמל,5.0,20119521 20119671 20119511,Label Not Found,88.59,Label Not Found,75.12,Label Not Found,74.5,Label Not Found,73.45
20119521,אלגברה ליניארית להנדסת חשמל 2,2.5,20119511,Label Not Found,79.63,Label Not Found,78.95,Label Not Found,75.47,Label Not Found,74.56
20311471,פיזיקה 2 א,3.5,20311371 20119671 36111081,Label Not Found,83.84,Label Not Found,86.88,Label Not Found,76.41,Label Not Found,69.52
37111601,יסודות מדעי המחשב,5.0,,68.14,73.55,Label Not Found,73.44,Label Not Found,74.48,Label Not Found,75.6
20119631,"חדו""א וקטורי להנדסת חשמל",5.0,20119681 20119521,78.91,78.42,74.24,75.85,76.25,68.9,75.29,75.58
20119901,אנליזת פוריה להנדסת חשמל,3.5,20119631 20119681 20119521,73.53,73.11,76.02,74.24,71.93,Label Not Found,67.05,Label Not Found
36113201,מבוא למחשבים להנדסת חשמל ומחשבים,4.5,37111601 36113231,79.97,77.92,76.18,76.59,77.29,Label Not Found,75.07,Label Not Found
20312391,פיסיקה 3א,3.5,20119631 20311471 20119681 36111081,75.01,69.05,76.06,81.29,72.86,Label Not Found,72.28,Label Not Found
36111021,מבוא להנדסת חשמל,5.0,20119521 20119681 20119671 20311371 20311471,65.81,65.74,72.47,72.37,64.04,67.41,62.67,64.52
36112011,מבוא למערכות ליניאריות,3.5,20110071 36111021 20119901,69.66,73.28,79.12,83.75,75.48,65.31,77.53,65.46
