מחלקה,שנה,טווח_ציונים,מספר_סטודנטים
המחלקה להנדסת חשמל ומחשבים,2021,65-70,0
המחלקה להנדסת חשמל ומחשבים,2021,70-75,20
המחלקה להנדסת חשמל ומחשבים,2021,75-80,61
המחלקה להנדסת חשמל ומחשבים,2021,80-85,98
המחלקה להנדסת חשמל ומחשבים,2021,85-90,28
המחלקה להנדסת חשמל ומחשבים,2021,90-95,6
המחלקה להנדסת חשמל ומחשבים,2021,95-100,0
המחלקה להנדסת חשמל ומחשבים,2022,65-70,0
המחלקה להנדסת חשמל ומחשבים,2022,70-75,22
המחלקה להנדסת חשמל ומחשבים,2022,75-80,88
המחלקה להנדסת חשמל ומחשבים,2022,80-85,57
המחלקה להנדסת חשמל ומחשבים,2022,85-90,26
המחלקה להנדסת חשמל ומחשבים,2022,90-95,13
המחלקה להנדסת חשמל ומחשבים,2022,95-100,0
המחלקה להנדסת חשמל ומחשבים,2023,65-70,1
המחלקה להנדסת חשמל ומחשבים,2023,70-75,34
המחלקה להנדסת חשמל ומחשבים,2023,75-80,53
המחלקה להנדסת חשמל ומחשבים,2023,80-85,81
המחלקה להנדסת חשמל ומחשבים,2023,85-90,37
המחלקה להנדסת חשמל ומחשבים,2023,90-95,4
המחלקה להנדסת חשמל ומחשבים,2023,95-100,3
המחלקה להנדסת חשמל ומחשבים,2024,65-70,0
המחלקה להנדסת חשמל ומחשבים,2024,70-75,17
המחלקה להנדסת חשמל ומחשבים,2024,75-80,70
המחלקה להנדסת חשמל ומחשבים,2024,80-85,86
המחלקה להנדסת חשמל ומחשבים,2024,85-90,38
המחלקה להנדסת חשמל ומחשבים,2024,90-95,9
המחלקה להנדסת חשמל ומחשבים,2024,95-100,1
הנדסה ביורפואית,2021,65-70,0
הנדסה ביורפואית,2021,70-75,0
הנדסה ביורפואית,2021,75-80,2
הנדסה ביורפואית,2021,80-85,7
הנדסה ביורפואית,2021,85-90,2
הנדסה ביורפואית,2021,90-95,1
הנדסה ביורפואית,2021,95-100,0
הנדסה ביורפואית,2022,65-70,0
הנדסה ביורפואית,2022,70-75,1
הנדסה ביורפואית,2022,75-80,9
הנדסה ביורפואית,2022,80-85,12
הנדסה ביורפואית,2022,85-90,6
הנדסה ביורפואית,2022,90-95,1
הנדסה ביורפואית,2022,95-100,0
הנדסה ביורפואית,2023,65-70,0
הנדסה ביורפואית,2023,70-75,0
