מספר קורס,שם קורס,"נק""ז",קורסי חובת מעבר,2025A,2025B,2024 A,2024 B
20119711,"חדו""א 1 להנדסה",5.0,,73.47,60.0,84.0,80.0
20119321,אלגברה ליניארית להנדסה,4.5,,73.89,81.68,84.0,84.0
20411571,כימיה בסיסית להנדסה,4.5,,69.96,Label Not Found,84.0,80.0
20411593,כימיה בסיסית - הדגמות,0.5,,76.55,Label Not Found,84.0,80.0
36211163,מבוא להנדסת מכונות,1.5,,85.09,Label Not Found,84.0,70.0
36211011,גרפיקה הנדסית,5.0,,75.41,Label Not Found,84.0,Empty PDF / Image
36010011,הכרת הספרייה,,,Label Not Found,Label Not Found,Empty PDF / Image,Empty PDF / Image
90055001,לומדה למניעת הטרדה מינית,0,,Label Not Found,Label Not Found,Empty PDF / Image,Empty PDF / Image
20119721,"חדו""א 2 להנדסה",5.0,20119711,Label Not Found,74.23,Empty PDF / Image,84.0
36212232,תכנות למהנדסי מכונות,4.0,,Label Not Found,83.28,Empty PDF / Image,84.0
15315051,אנגלית מתקדמים2 (טכנולוגיה)*,2.0,15315041,82.4,85.09,84.0,84.0
36211143,מעבדה לגרפיקה ממוחשבת מעשית,2.0,36211011,Label Not Found,90.39,Empty PDF / Image,84.0
36212181,תכונות מכאניות של חומרים,4.0,,Label Not Found,75.96,Empty PDF / Image,84.0
36211061,סטאטיקה,4.0,,Label Not Found,77.04,Empty PDF / Image,84.0
20119771,"חדו""א 3 להנדס' מכונות",4.0,"20119721, 20119321",74.78,Label Not Found,84.0,Empty PDF / Image
20311491,פיסיקה 2ב,3.5,36211061,61.96,62.08,80.0,80.0
36212221,דינמיקה,5.0,36211061,76.13,Label Not Found,80.0,60.0
36212241,תרמודינמיקה,6.0,,78.97,Label Not Found,84.0,75.0
36212161,טכנולוגיות הייצור,3.5,36212181,73.41,Label Not Found,84.0,85.0
20119471,משוואות דיפרנציאליות חלקיות להנדסת מכונות,2.5,20119771,Label Not Found,83.48,Empty PDF / Image,84.0
36213401,מערכות ליניאריות,3.5,20119321,Label Not Found,75.36,Empty PDF / Image,80.0
36212151,מכשור ומדידות,2.5,,Label Not Found,77.98,Empty PDF / Image,80.0
36212121,חוזק חומרים,6.0,"20119321, 20119771, 36211061",Label Not Found,83.33,Empty PDF / Image,84.0
36212331,תורת הזרימה,6.0,"20119771, 36212241",Label Not Found,69.39,Empty PDF / Image,80.0
36212173,סדנא לתוכנות מחשב הנדסיות,1.0,,Label Not Found,82.97,Empty PDF / Image,84.0
36211153,מעבדה להנדסת מכונות1,2.0,"36212151, 36212121, 36212241",86.31,Label Not Found,84.0,80.0
36212242,תיכון מכונות,6.0,"36212121, 36211011",84.53,Label Not Found,84.0,70.0
36213471,מערכות בקרה,6.0,36213401,83.02,Label Not Found,84.0,80.0
36213261,מעבר חום,6.0,36212331,70.06,Label Not Found,84.0,80.0
36211133,מעבדה להנדסת מכונות2,2.0,"36212331, 36213261, 36213471",Label Not Found,90.06,Empty PDF / Image,84.0
36214791,תורת התנודות,3.5,36212221,Label Not Found,77.22,Empty PDF / Image,84.0
36213321,תורת המכונות,3.5,36211061,Label Not Found,80.59,Empty PDF / Image,80.0
36213341,שיטות נומריות בהנדסה,4.0,"20119721, 36212232",Label Not Found,73.51,Empty PDF / Image,80.0
